"brand","model","regdate","max","min","count","average","median"
"benelli","302r","2007","4500000","4500000","1","4500000.0","4500000"
"benelli","302r","2015","50000000","30000000","2","40000000.0","40000000.0"
"benelli","302r","2016","65000000","65000000","1","65000000.0","65000000"
"benelli","302r","2017","93000000","17000000","121","41416528.92561983","18500000"
"benelli","302r","2018","9999999000","1500000","272","86070584.55882353","42800000.0"
"benelli","302r","2019","123456000","1900000","168","40132476.190476194","50000000.0"
"benelli","302r","2020","85000000","8888000","85","40795576.47058824","8888000"
"benelli","302r","2021","120000000","120000000","22","120000000.0","120000000.0"
"benelli","bn 302","2009","1400000","1400000","1","1400000.0","1400000"
"benelli","bn 302","2011","98300000.0","89000000","3","95200000.0","98300000.0"
"benelli","bn 302","2012","57500000","51500000","5","56300000.0","57500000"
"benelli","bn 302","2013","126000000","119890000","2","122945000.0","122945000.0"
"benelli","bn 302","2014","84290000","35888000","377","55773416.445623346","56500000"
"benelli","bn 302","2015","73000000","25000000","2291","56203354.857267566","55700000"
"benelli","bn 302","2016","125000000","6200000","2242","55294478.14451383","56800000.0"
"benelli","bn 302","2017","85000000","6700000","2463","55295765.732846126","56500000"
"benelli","bn 302","2018","102000000","3200000","7040","49340226.13636363","48500000.0"
"benelli","bn 302","2019","105000000","16800000","5609","44161700.12479943","45500000"
"benelli","bn 302","2020","90000000","16800000","1946","55497841.72661871","50500000.0"
"benelli","bn 302","2021","18500000","18500000","44","18500000.0","18500000.0"
"benelli","bn 302 (nhập khẩu)","2018","58500000","40800000","353","45025779.0368272","48000000"
"benelli","bn 302 (nhập khẩu)","2019","48500000","36000000","315","43293650.79365079","45000000"
"benelli","bn 600i","2013","350000000","80000000","178","133321095.50561798","88000000.0"
"benelli","bn 600i","2014","130000000","87000000","482","109426516.59751037","103000000.0"
"benelli","bn 600i","2015","132000000","89000000","645","117172868.21705426","120000000"
"benelli","bn 600i","2016","145000000","78000000","105","114785768.4952381","116000000"
"benelli","bn 600i","2017","139000000","30800000","447","120887991.05145414","120000000"
"benelli","bn 600i","2018","147000000","2000000","708","67869067.79661018","46000000.0"
"benelli","bn 600i","2019","142000000","28000000","833","70775375.75030012","45800000"
"benelli","bn 600i (nhập khẩu)","2015","139000000","132000000","21","134666666.66666666","132000000"
"benelli","bn 600i (nhập khẩu)","2019","132000000","132000000","12","132000000.0","132000000.0"
"benelli","caffe nero","2007","11000000","11000000","54","11000000.0","11000000.0"
"benelli","caffe nero","2011","11000000","3500000","2","7250000.0","7250000.0"
"benelli","caffe nero","2014","33000000","5600000","4","17775000.0","16250000.0"
"benelli","caffe nero","2015","34500000","27000000","2","30750000.0","30750000.0"
"benelli","caffe nero","2017","22000000","19000000","2","20500000.0","20500000.0"
"benelli","caffe nero","2018","118000000","13200000","220","86074545.45454545","98800000.0"
"benelli","caffe nero","2019","102000000","15000000","39","97653846.15384616","102000000"
"benelli","caffe nero","2020","9000000","9000000","1","9000000.0","9000000"
"benelli","dòng khác","1981","3500000","3500000","45","3500000.0","3500000"
"benelli","dòng khác","1991","5000000","5000000","1","5000000.0","5000000"
"benelli","dòng khác","1995","42500000","39000000","106","39801886.79245283","39000000.0"
"benelli","dòng khác","1997","3200000","3200000","1","3200000.0","3200000"
"benelli","dòng khác","1999","55000000","35000000","3","45000000.0","45000000"
"benelli","dòng khác","2001","320000000","7100000","59","18764406.77966102","12500000"
"benelli","dòng khác","2002","22000000","3700000","75","21756000.0","22000000"
"benelli","dòng khác","2003","9000000","8000000","47","8510638.29787234","8500000"
"benelli","dòng khác","2004","6500000","4500000","2","5500000.0","5500000.0"
"benelli","dòng khác","2005","5500000","2000000","2","3750000.0","3750000.0"
"benelli","dòng khác","2006","5000000","3000000","36","4944444.444444444","5000000.0"
"benelli","dòng khác","2007","6000000","4300000","5","5000000.0","5000000"
"benelli","dòng khác","2008","6500000","2500000","58","6198275.862068965","6500000.0"
"benelli","dòng khác","2009","45000000","3000000","40","10377500.0","10000000.0"
